COUNTRY,STATE,REGION,DATE,FAJR,SUNRISE,DHUHR,ASR,MAGHRIB,ISHA,TAHAJJUD
Mexico,Jalisco,GDL,01-09-26,05:00,06:00,13:00,17:00,19:00,21:00,02:00
Mexico,Jalisco,GDL,02-09-26,05:00,06:00,13:00,17:00,19:00,21:00,02:00
Mexico,Jalisco,GDL,03-09-26,05:00,06:00,13:00,17:00,19:00,21:00,02:00
Mexico,Jalisco,GDL,04-09-26,05:00,06:00,13:00,17:00,19:00,21:00,02:00
Mexico,Jalisco,GDL,05-09-26,05:00,06:00,13:00,17:00,19:00,21:00,02:00
Mexico,Jalisco,GDL,06-09-26,05:00,06:00,13:00,17:00,19:00,21:00,02:00
Mexico,Jalisco,GDL,07-09-26,05:00,06:00,13:00,17:00,19:00,21:00,02:00
Mexico,Jalisco,GDL,08-09-26,05:00,06:00,13:00,17:00,19:00,21:00,02:00
Mexico,Jalisco,GDL,09-09-26,05:00,06:00,13:00,17:00,19:00,21:00,02:00
Mexico,Jalisco,GDL,10-09-26,05:00,06:00,13:00,17:00,19:00,21:00,02:00
Mexico,Jalisco,GDL,11-09-26,05:00,06:00,13:00,17:00,19:00,21:00,02:00
Mexico,Jalisco,GDL,12-09-26,05:00,06:00,13:00,17:00,19:00,21:00,02:00
Mexico,Jalisco,GDL,13-09-26,05:00,06:00,13:00,17:00,19:00,21:00,02:00
Mexico,Jalisco,GDL,14-09-26,05:00,06:00,13:00,17:00,19:00,21:00,02:00
Mexico,Jalisco,GDL,15-09-26,05:00,06:00,13:00,17:00,19:00,21:00,02:00
Mexico,Jalisco,GDL,16-09-26,05:00,06:00,13:00,17:00,19:00,21:00,02:00
Mexico,Jalisco,GDL,17-09-26,05:00,06:00,13:00,17:00,19:00,21:00,02:00
Mexico,Jalisco,GDL,18-09-26,05:00,06:00,13:00,17:00,19:00,21:00,02:00
Mexico,Jalisco,GDL,19-09-26,05:00,06:00,13:00,17:00,19:00,21:00,02:00
Mexico,Jalisco,GDL,20-09-26,05:00,06:00,13:00,17:00,19:00,21:00,02:00
Mexico,Jalisco,GDL,21-09-26,05:00,06:00,13:00,17:00,19:00,21:00,02:00
Mexico,Jalisco,GDL,22-09-26,05:00,06:00,13:00,17:00,19:00,21:00,02:00
Mexico,Jalisco,GDL,23-09-26,05:00,06:00,13:00,17:00,19:00,21:00,02:00
Mexico,Jalisco,GDL,24-09-26,05:00,06:00,13:00,17:00,19:00,21:00,02:00
Mexico,Jalisco,GDL,25-09-26,05:00,06:00,13:00,17:00,19:00,21:00,02:00
Mexico,Jalisco,GDL,26-09-26,05:00,06:00,13:00,17:00,19:00,21:00,02:00
Mexico,Jalisco,GDL,27-09-26,05:00,06:00,13:00,17:00,19:00,21:00,02:00
Mexico,Jalisco,GDL,28-09-26,05:00,06:00,13:00,17:00,19:00,21:00,02:00
Mexico,Jalisco,GDL,29-09-26,05:00,06:00,13:00,17:00,19:00,21:00,02:00
Mexico,Jalisco,GDL,30-09-26,05:00,06:00,13:00,17:00,19:00,21:00,02:00
